C,Mn,Al,Si,Fe,UTS,UE
0.6,12.0,0.0,0.0,87.4,830.0,27.6
0.3,12.0,3.0,0.0,84.7,943.2,46.3
0.05,6.15,0.0,1.5,92.3,1014.0,20.0
0.05,6.15,0.0,1.5,92.3,1099.0,13.8
0.05,6.15,0.0,1.5,92.3,1213.0,9.5
0.05,6.15,0.0,1.5,92.3,1348.0,6.9
0.15,6.0,3.0,1.5,89.35,856.0,14.7
0.15,6.0,3.0,1.5,89.35,929.0,35.2
0.3,6.0,3.0,1.5,89.2,1053.0,51.0
0.3,10.0,3.0,2.0,84.7,1241.0,15.1
0.3,10.0,3.0,2.0,84.7,1124.0,29.2
0.3,10.0,3.0,2.0,84.7,1148.0,62.4
0.12,4.6,1.1,0.55,93.63000000000001,988.0,11.5
0.12,4.6,1.1,0.55,93.63000000000001,1204.0,12.9
0.12,4.6,1.1,0.55,93.63000000000001,1461.0,6.2
0.12,5.8,3.1,0.47,90.51,854.0,14.7
0.12,5.8,3.1,0.47,90.51,994.0,23.8
0.12,5.8,3.1,0.47,90.51,1161.0,11.2
0.11,4.5,2.2,0.45,92.74,772.0,14.2
0.11,4.5,2.2,0.45,92.74,851.0,28.7
0.11,4.5,2.2,0.45,92.74,929.0,23.0
0.11,4.5,2.2,0.45,92.74,1014.0,15.1
0.075,5.1,2.1,0.49,92.23500000000001,821.0,21.3
0.075,5.1,2.1,0.49,92.23500000000001,870.0,23.8
0.075,5.1,2.1,0.49,92.23500000000001,972.0,16.1
0.075,5.1,2.1,0.49,92.23500000000001,1009.0,13.1
0.055,5.6,2.2,0.49,91.655,871.0,22.3
0.055,5.6,2.2,0.49,91.655,907.0,17.4
0.055,5.6,2.2,0.49,91.655,974.0,15.5
0.055,5.6,2.2,0.49,91.655,1008.0,10.8
0.08,12.8,0.0,0.0,87.12,1264.0,16.5
0.08,12.8,0.0,0.0,87.12,1329.0,29.7
0.08,12.8,0.0,0.0,87.12,1342.0,24.5
0.08,12.8,0.0,0.0,87.12,1408.0,23.1
0.15,6.0,1.0,1.5,91.35,950.2,14.9
0.15,6.0,1.0,1.5,91.35,1031.6,39.6
0.15,6.0,1.0,1.5,91.35,1201.5,32.1
0.1,5.18,0.026,0.12,94.574,597.0,23.5
0.1,5.18,0.026,0.12,94.574,624.0,38.5
0.1,5.18,0.026,0.12,94.574,651.0,17.5
0.1,5.18,0.026,0.12,94.574,846.0,12.5
0.1,5.18,0.026,0.12,94.574,1028.0,6.8
