C,Mn,Al,Si,Fe,Z
0.0,0.0,0.0,0.0,100.0,4.313888210232207
0.0,25.5,0.19,0.0,74.31,7.144543906632743
0.0,25.6,0.0,0.0,74.4,7.128038690956014
0.0,26.1,0.7,0.0,73.2,6.897528476797322
0.0,26.2,3.6,0.0,70.2,6.140694910830398
0.0,30.0,0.0,0.0,70.0,5.766336400474613
0.0,31.0,3.0,3.0,63.0,8.468512816225672
0.0,32.6,0.0,0.0,67.4,5.6374280979623475
0.0,33.0,0.0,3.96,63.04,7.417393513033365
0.001,19.8,0.0,0.0,80.199,5.75290007060857
0.001,32.3,0.0,0.0,67.699,5.572448971473781
0.0015,0.1,8.1,0.007,91.7915,3.6492776018508426
0.002,0.15,0.058,0.002,99.788,3.495754202989496
0.002,0.17,0.0,0.01,99.818,4.0484807115661345
0.002,28.4,0.0,0.0,71.59800000000001,6.748636344260724
0.002,31.1,0.0,0.0,68.898,6.9723032652096935
0.002,39.7,0.0,0.0,60.298,5.328816804764027
0.0035,0.1,6.81,0.008,93.0785,3.872944522799812
0.004,29.99,1.98,4.06,63.965999999999994,7.31063095203084
0.005,14.8,0.0,0.02,85.17500000000001,6.959337194861759
0.01,0.0,0.0,0.0,99.99,4.266983389882403
0.01,0.0,0.0,0.98,99.01,4.710258053710225
0.01,0.0,0.0,1.0,98.99,4.316657267402052
0.01,0.0,0.0,1.92,98.07,4.826767053483069
0.01,15.9,3.5,1.9,78.68999999999998,6.951270846623842
0.01,30.6,3.9,2.0,63.48999999999998,8.03846749760089
0.011,5.22,0.019,0.006,94.744,5.006257514220008
0.016,30.79,0.0,0.0,69.19399999999999,6.090350565710203
0.0163,24.3,0.0,0.0,75.6837,7.3016208822258974
0.017,4.5,7.9,0.0,87.583,4.388712336261863
0.018,17.0,0.0,0.0,82.982,5.571198131552524
0.018,31.6,0.0,6.45,61.932,5.487921372620368
0.02,15.8,2.9,3.0,78.28,7.81322101458659
0.02,16.2,1.8,4.0,77.98,7.858484959351934
0.02,17.9,2.9,3.2,75.98,7.892144356124625
0.02,28.7,2.0,4.0,65.28,8.889454061259539
0.02,29.2,2.8,3.0,64.98,9.234297524587111
0.023,2.05,0.038,0.31,97.579,3.862800862423544
0.03,18.1,3.5,1.8,76.57000000000001,7.854795116828525
0.03,25.5,1.8,3.9,68.77,8.452908635438417
0.03,25.6,2.8,3.0,68.57000000000001,9.755067720862526
0.03,25.6,3.8,2.0,68.57000000000001,8.782099767202904
0.03,26.5,2.8,3.0,67.67,9.845678507934174
0.04,0.13,9.74,0.007,90.083,4.127858645940715
0.04,20.1,2.9,2.8,74.15999999999998,10.060966599234025
0.046,2.11,0.028,0.31,97.506,4.217634033669453
0.05,5.0,0.0,0.2,94.75,6.158010214462634
0.05,6.15,0.0,1.5,92.3,6.962114344050949
0.05,8.51,0.08,0.29,91.07,7.262163857508906
0.05,12.0,3.0,0.0,84.95,5.620756782444878
0.05,14.91,0.0,0.0,85.04,5.968950386617134
0.05,16.86,0.0,0.0,83.09,6.225751596795169
0.05,18.66,0.0,0.0,81.29,5.1814345121933805
0.052,1.61,0.033,0.77,97.535,4.045115755240237
0.055,5.6,2.2,0.49,91.655,6.12340767598497
0.056,8.9,1.0,1.54,88.50399999999999,7.605657586859306
0.06,1.54,0.0,1.02,97.38,5.184378776060738
0.06,1.55,0.0,1.94,96.45,5.608166339756516
0.06,5.5,0.03,0.2,94.21,6.763279085601733
0.06,18.2,1.8,4.3,75.64,8.994839804747969
0.06,22.0,0.0,0.0,77.94,4.967110539990323
0.06,29.2,5.2,0.6,64.94,5.944852295135629
0.063,1.29,0.005,0.24,98.402,3.884172182433258
0.075,5.1,2.1,0.49,92.235,6.180984959031584
0.075,5.24,0.056,0.006,94.623,5.886737963787871
0.08,12.8,0.0,0.0,87.12,8.701698807297937
0.08,15.1,1.4,1.95,81.47,9.126856550693288
0.083,4.62,0.0,0.0,95.297,6.307532628952616
0.086,8.05,0.021,0.138,91.705,8.401240282308006
0.088,2.07,0.036,0.31,97.496,4.914512166262019
0.09,1.34,0.0,0.012,98.558,5.0348541328027565
0.09,13.9,2.01,2.07,81.92999999999999,8.618706744883921
0.092,4.6,0.0,0.0,95.308,6.053022307807987
0.092,5.91,0.028,0.017,93.953,6.978771947682938
0.093,7.22,0.013,0.49,92.184,8.391657017947512
0.095,5.8,0.028,0.13,93.947,5.918819689643349
0.099,7.09,0.031,0.13,92.65,6.8021279724990364
0.1,0.7,0.0,0.2,99.0,4.325246167003877
0.1,1.0,0.0026,0.1,98.7974,4.855953962986347
0.1,3.5,0.0,0.0,96.4,5.084806218200164
0.1,4.5,0.0,0.0,95.4,5.438209927262219
0.1,4.7,0.0,0.0,95.2,5.93307411672628
0.1,4.91,0.008,2.04,92.942,6.514723056867576
0.1,5.0,0.02,1.2,93.68,7.010701057014042
0.1,5.18,0.026,0.12,94.574,5.419952778287902
0.1,5.25,0.0,2.09,92.56,6.881439925975238
0.1,6.38,0.0,0.0,93.52,6.667306962435059
0.1,13.0,0.45,1.57,84.88000000000001,9.572025913761692
0.1,13.8,0.4,2.01,83.69,8.65639553347934
0.11,1.53,0.04,1.5,96.82,5.434100006890592
0.11,1.53,0.043,1.5,96.817,5.278508391401319
0.11,1.55,1.5,0.059,96.781,4.853372674167418
0.11,1.55,1.5,0.06,96.78,4.961052272132713
0.11,1.6,0.06,0.73,97.5,4.700337349451173
0.11,2.132,0.0,0.639,97.119,4.4892239301261965
0.11,4.5,2.2,0.45,92.74,6.183045815934912
0.11,4.86,0.0,0.0,95.03,5.638979729552449
0.11,8.1,1.8,0.6,89.39000000000001,9.411499557191265
0.11,11.5,0.38,2.46,85.55000000000001,8.679202465520182
0.11,30.9,1.21,0.0,67.78000000000002,6.635334949728994
0.115,1.51,0.38,0.49,97.505,4.96021702872904
0.115,1.54,0.91,0.02,97.415,4.747092405819212
0.12,0.87,0.02,0.25,98.74,5.0705556122777855
0.12,1.5,0.05,1.2,97.13,4.974709374777064
0.12,1.51,0.04,0.78,97.54999999999998,5.136660856454264
0.12,4.6,1.1,0.55,93.63,7.020137766559596
0.12,4.89,1.52,0.0,93.47,6.077953933540867
0.12,5.1,0.064,0.009,94.707,7.353751386569807
0.12,5.13,0.0,0.009,94.741,6.0810715118462655
0.12,5.8,3.1,0.47,90.51,6.448983667791847
0.12,6.1,0.0,1.5,92.28,7.508755822280905
0.12,7.0,0.0,0.3,92.58,7.781656145974943
0.128,1.56,0.515,0.005,97.792,4.491381575046105
0.14,7.0,0.0,0.22,92.64,8.275140472360775
0.14,7.14,0.056,0.23,92.434,8.45157999679015
0.14,7.39,1.55,0.2,90.72,6.658752681846451
0.143,7.39,1.55,0.2,90.717,7.300016550038137
0.143,10.07,1.68,0.2,87.907,9.18543459397479
0.15,1.0,0.0026,0.1,98.7474,5.555759600265031
0.15,1.4,0.0,0.26,98.18999999999998,3.5800175854920946
0.15,1.4,0.0,1.44,97.01,5.221142724570451
0.15,1.41,0.0,1.24,97.2,4.782852918473739
0.15,1.5,0.04,1.5,96.81,5.62387725403374
0.15,1.52,0.048,0.64,97.642,5.382167938839785
0.15,1.7,0.0,0.5,97.65,5.932857245015982
0.15,2.55,0.047,1.0,96.253,6.321633947627085
0.15,4.02,0.027,0.49,95.313,6.3349650827896635
0.15,6.0,1.0,1.5,91.35,7.748196515084442
0.15,6.0,3.0,1.5,89.35,6.571761111354922
0.15,6.09,1.849,0.969,90.942,8.02804922114102
0.15,7.0,0.0,0.2,92.65,7.697446148574563
0.15,7.0,1.0,0.3,91.55,8.256206755613254
0.15,10.0,1.5,0.0,88.35,9.16395383480371
0.16,1.39,0.0,1.96,96.49,4.469160127217325
0.16,1.4,0.0,1.71,96.73,4.746802067154337
0.16,1.47,0.046,1.42,96.904,5.316610082948334
0.16,2.52,0.055,1.41,95.855,7.032531286519932
0.16,3.95,0.0,0.5,95.39,7.519349380984514
0.16,4.7,1.6,0.22,93.32,6.794364153339223
0.16,14.3,0.89,2.97,81.68,9.696063448444509
0.166,1.03,0.0,0.24,98.564,4.9992523532569155
0.17,1.41,0.0,1.07,97.35,4.654254753842
0.17,1.49,0.033,0.22,98.087,5.196309024567919
0.17,1.63,0.036,0.28,97.884,5.279611498562748
0.17,1.65,1.11,0.38,96.69,5.8144317284974605
0.17,2.07,0.0,0.57,97.19,6.685879115805786
0.17,3.3,1.7,0.22,94.61,5.801672081949246
0.17,3.99,0.025,0.5,95.315,6.221979881213455
0.17,4.72,0.0,0.0,95.11,6.274891887902285
0.17,5.56,1.21,0.0,93.06,8.918860321757503
0.17,5.6,1.2,0.0,93.03,8.239906443026896
0.17,10.2,0.3,2.38,86.95,9.830102912031872
0.172,1.387,0.0,0.252,98.189,3.873662480450757
0.175,2.1,0.024,0.31,97.391,5.482943324020998
0.18,2.7,0.0,1.7,95.42,7.199084047925001
0.18,3.34,6.57,0.0,89.91,4.269403361095505
0.18,6.4,2.8,0.5,90.12,7.120739825147514
0.18,8.0,0.0,0.0,91.82,9.580147831785732
0.18,11.02,3.81,0.0,84.99,6.190741536120052
0.183,1.56,1.73,0.02,96.507,5.534264964296222
0.189,4.45,0.48,0.0,94.881,5.922722997413085
0.19,1.59,0.036,1.63,96.554,7.091093512102041
0.19,4.02,0.031,0.5,95.259,6.3895091954929635
